rest_name,address_rd,price_range,pri_category,sec_category,collection,comments,rating,likes,dislikes
度小月 (海港城) Du Hsiao Yueh (Harbour City),廣東道,$51-100,其他中菜,中菜館,12943,448,3.4,145,62
農米莊 (厚福街) NMC Noodles (Hau Fook Street),厚福街,$51-100,港式/粵菜,粉麵-米線,4946,224,3.6,88,20
新天地小廚,棉登徑,$51-100,港式/粵菜,中菜館,848,5,3.5,2,0
正斗粥麵專家 (ELEMENTS圓方) Tasty Congee & Noodle Wantun Shop (ELEMENTS),柯士甸道,$51-100,港式/粵菜,粉麵-米線,4784,95,3.4,47,13
上海姥姥 Shanghai Lao Lao,梳士巴利道,$51-100,其他中菜,酒吧,3968,57,3.4,15,6
嫲嫲辣辣,厚福街,$51-100,其他中菜,中菜館,9391,209,3.7,106,17
中國廚房/台灣牛肉麵 CHINESE KITCHEN,廣東道,$51-100,其他中菜,中菜館,828,83,4.3,76,0
霸王山莊 Kings' Lodge,漆咸道,$51-100,其他中菜,"點心,酒樓,山珍海味",10878,570,3.3,264,105
劉一手重慶火鍋 (圓方) Liu’s Chong Qing Hot Pot (ELEMENTS),柯士甸道,$201-400,其他中菜,火鍋,2792,35,4,24,3
大富翁名人火鍋食府 Da Fu Weng Cuisine,彌敦道,$201-400,港式/粵菜,火鍋,587,8,3.8,4,1
塚田農場 TSUKADA NOJO,廣東道,$201-400,日本菜,火鍋,45051,498,3.8,273,50
酒鍋 (天文台道) The Drunken Pot (Observatory Road),天文臺道,$201-400,港式/粵菜,中菜館,37675,668,4.1,526,31
養心殿台式養生鍋,棉登徑,$201-400,其他中菜,火鍋,11455,268,4.1,209,14
碼頭故事 The Story of Wharf,寶勒巷,$201-400,其他中菜,火鍋,15521,226,4.3,181,6
東來順 Dong Lai Shun,麼地道,$201-400,其他中菜,"快餐店,少鹽少糖食店",7771,256,3.8,160,17
嫲嫲辣辣 (首都廣場),漆咸道,$51-100,其他中菜,中菜館,421,20,4.2,18,1
台灣牛肉麵 TAIWAN BEEF NOODLE,廣東道,$51-100,其他中菜,中菜館,185,3,4.7,3,0
麻辣派對 (瑞生酒店) Chili Party (Soravit on Granville Hotel),加連威老道,$101-200,其他中菜,中菜館,33055,623,4.2,509,28
翡翠拉麵小籠包 Crystal Jade La Mian Xiao Long Bao,廣東道,$101-200,其他中菜,"快餐店,少鹽少糖食店",8374,388,3.3,169,74
鼎泰豐 Din Tai Fung,廣東道,$101-200,其他中菜,"中菜館,點心,同客食飯,中式包點,適合大夥人",15719,831,3.7,500,64
鼎泰豐 Din Tai Fung,彌敦道,$101-200,其他中菜,"中菜館,點心,同客食飯,中式包點,適合大夥人",4867,108,3.8,60,3
滿小館 The Moonious,麼地道,$101-200,港式/粵菜,中菜館,9715,240,4.2,207,3
十二味 (赫德道) Twelve Flavors (Hart Avenue),赫德道,$101-200,其他中菜,中菜館,30202,385,4.2,308,13
上海婆婆336 (iSQUARE國際廣場) Shanghai Po Po 336 (iSQUARE),彌敦道,$101-200,其他中菜,"快餐店,少鹽少糖食店",15975,490,3.8,344,38
侘寂珈琲 • 喫茶 WabiSabi Coffee • Kissa,西九文化區,$51-100,西式,"動物友善餐廳,酒,酒吧",2322,55,3.1,11,13
Afternoon Tea TEAROOM,梳士巴利道,$51-100,西式,"三文治,果汁,沙律",8863,146,3.9,91,9
CoCo壹番屋 (新港中心) CoCo Ichibanya (Silvercord Tower),廣東道,$51-100,日本菜,"自助餐,酒店餐廳",5544,271,3.7,174,14
五要素食堂 Fifth Element Shokudo,彌敦道,$101-200,日本菜,"自助餐,酒店餐廳",11535,325,4.2,271,11
宏 Hiroshi,金巴利道,$101-200,日本菜,"日式西餐廳,甜品-糖水,西式糕點",1993,74,4,32,3
Cafe&Meal MUJI,廣東道,$101-200,西式,"自助餐,酒店餐廳",2932,107,3.9,67,3
Ukiyo,梳士巴利道,$101-200,西式,"咖啡店,all-day-breakfast",1493,7,4.3,6,0
鳥語 Floom Floom,厚福街,$101-200,西式,"甜品-糖水,咖啡店,樓上cafe",32221,499,3.7,297,45
Camellia,梳士巴利道,$101-200,西式,"動物友善餐廳,酒,酒吧",36889,451,3.7,254,42
JUST'er Bar & Restaurant,山林道,$101-200,西式,"三文治,果汁,沙律",22321,1066,4.2,967,24
松 Matsu Japanese Restaurant & Bar,柯士甸道,$201-400,日本菜,"鐵板燒,壽司-刺身,廚師發辦",2859,127,4.3,121,2
城中鴨子 Duck Victoria,廣東道,$101-200,其他中菜,中菜館,14655,193,3.8,93,14
忠孝東路 Zhongxiao East Road,彌敦道,$101-200,其他中菜,中菜館,5326,331,3.8,218,22
滿樂潮州 (美麗華廣場) Moon Lok Chiu Chow (Mira Place One),彌敦道,$101-200,港式/粵菜,中菜館,7289,92,4.2,75,1
北京老家 Beijing Home,加拿分道,$101-200,其他中菜,"快餐店,少鹽少糖食店",6711,118,4,82,5
阿不 Ah Bu,河內道,$101-200,港式/粵菜,中菜館,7268,51,3.9,27,2
瑪寶鮮 Marbo Seafood Restaurent,寶勒巷,$101-200,港式/粵菜,中菜館,5748,63,4,49,4
稻成亞丁 Dab-pa Peking & Szechuan Cuisine,柯士甸道,$101-200,其他中菜,中菜館,8879,92,3.7,39,6
龍圖閣海鮮飯店 Fresh Seafood Restaurant,漆咸道,$101-200,港式/粵菜,中菜館,5191,94,3.7,60,5
稻成京川滬 Dab-pa Modern Chinese Cuisine,梳士巴利道,$101-200,其他中菜,中菜館,3612,21,4.2,11,1
匠心廚房 Passion and Craft Chinese Cuisine,北京道,$101-200,其他中菜,中菜館,1144,32,4.5,27,0
潮州城酒樓 City Chiu Chow Restaurant,加連威老道,$101-200,港式/粵菜,中菜館,1540,32,3.6,15,3
香港仔避風塘 Aberdeen Floating Boat Restaurant,漢口道,$101-200,港式/粵菜,中菜館,165,29,2,3,9
高流灣海鮮火鍋 Ko Lau Wan Seafood Hot Pot,寶勒巷,$201-400,港式/粵菜,中菜館,4304,18,4.4,13,0
好好點心飲茶專門店•椰子雞煲專賣店 Ho Ho Four Season Coconut Chicken Hot Pot Dim Sum,堪富利士道,$201-400,港式/粵菜,火鍋,3868,40,3.8,16,5
火鍋館 Hot Pot House,山林道,$201-400,港式/粵菜,中菜館,2551,76,3.5,36,8
狂野麻神麻辣火鍋 Kuang Ye Ma Shen,北京道,$201-400,其他中菜,火鍋,3918,228,4.5,211,6
湊湊火鍋‧茶憩 (K11購物藝術館) Coucou Hotpot‧Tea Break (K11 Art Mall),河內道,$201-400,其他中菜,火鍋,15609,132,4.3,94,6
川婆婆 (寶勒巷) Chuan Po Po (Prat Avenue),寶勒巷,$201-400,其他中菜,中菜館,20069,421,4,320,25
鼎王麻辣鍋 (金巴利道) Tripodking (Kimberley Road),金巴利道,$201-400,其他中菜,火鍋,18044,208,4.3,151,8
湊凑甄選 (K11 Musea) Coucou Reserve (K11 Musea),梳士巴利道,$201-400,其他中菜,火鍋,16390,82,4,46,8
方叔叔重慶老火鍋 (太子集團中心) Uncle Fong Hot Pot Restaurant (Prince Tower),北京道,$201-400,其他中菜,火鍋,566,7,4.4,6,1
興發明爐燒味 Hing Fat Roast Restaurant,亞士厘道,$50以下,港式/粵菜,"自助餐,酒店餐廳",405,55,2.9,16,18
京城鴨子 The Northern Kitchen,麼地道,$51-100,其他中菜,"燒臘,餛飩-餃子,中式包點",1941,29,3.8,17,3
品味料理 V&B Cuisine,樂道,$51-100,其他亞洲菜,"烤肉,咪嘥嘢食店,海鮮,咖喱",451,34,3.7,17,7
少爺燒鵝燉湯館,柯士甸道,$101-200,港式/粵菜,中菜館,142,25,4.5,24,0
彤粵菜小館,北京道,$201-400,港式/粵菜,中菜館,748,22,4.8,21,0
頂好海鮮酒家 Very Good Restaurant,彌敦道,$201-400,港式/粵菜,"中菜館,海鮮,點心,酒樓,酒店餐廳",3805,104,3.5,59,10
源記燒味粉麵茶餐廳 Yuen Kee Restaurant,金巴利道,$50以下,港式/粵菜,"自助餐,酒店餐廳",589,36,3.3,15,3
日見,柯士甸道,$201-400,日本菜,"鐵板燒,壽司-刺身,廚師發辦",180,16,4.8,16,0
八王子外賣便當 Hachioji Bento Delivery,金巴利道,$51-100,日本菜,"自助餐,酒店餐廳",16,9,4.4,9,0
京笹居酒屋 KYOZASA RESTAURANT,亞士厘道,$51-100,日本菜,"自助餐,酒店餐廳",170,46,3.6,29,5
宏 Hiroshi,彌敦道,$101-200,日本菜,壽司-刺身,14999,829,3.9,635,48
香港冰皮燒鵝 Hong Kong Crispy Roast Goose,樂道,$101-200,港式/粵菜,燒臘,722,18,3.8,6,3
紫荊閣 Bauhinia Restaurant,廣東道,$101-200,港式/粵菜,中菜館,536,7,4.2,3,0
華苑潮州閣 Wah Yuen Chiuchow Cuisine,北京道,$101-200,港式/粵菜,"快餐店,少鹽少糖食店",5763,28,3.8,19,0
唐宮小聚 (新港中心) Social Place (Silvercord Tower),廣東道,$101-200,港式/粵菜,中菜館,30756,473,3.9,282,19
功德林上海素食 (北京道) Kung Tak Lam Shanghai Vegetarian Cuisine (Peking Road),北京道,$101-200,其他中菜,中菜館,11050,254,3.6,151,34
大都烤鴨 Empire City Roasted Duck,河內道,$101-200,其他中菜,"串燒,適合大夥人,慶祝紀念日",32655,392,3.7,195,32
魚塘鴨子 The Pond,柯士甸道,$101-200,其他中菜,中菜館,10037,107,3.7,47,13
王家沙．花樣年華 (K11 Musea) Bloom by Wang Jia Sha (K11 Musea),梳士巴利道,$101-200,其他中菜,中菜館,4605,64,4,45,7
陶源酒家 Sportful Garden Restaurant,加連威老道,$101-200,港式/粵菜,"快餐店,少鹽少糖食店",1653,49,3.6,26,6
海底撈火鍋 (金巴利道) Haidilao Hot Pot (Kimberley Road),金巴利道,$201-400,其他中菜,火鍋,6873,157,4.5,130,2
鮮入圍煮花膠雞海鮮火鍋,厚福街,$201-400,港式/粵菜,火鍋,8042,210,4.3,195,2
御老鍋台式火鍋,金巴利道,$201-400,其他中菜,火鍋,787,34,4.6,31,0
云手工火鍋店,加連威老道,$201-400,港式/粵菜,火鍋,2778,281,4.6,269,1
黑樺牛 Kurohanagyu,堪富利士道,$201-400,日本菜,火鍋,4498,69,4.3,52,4
籽田會館 Seed Field Guild Hall,山林道,$401-800,其他中菜,私房菜,2129,33,4.2,12,2
瑞樵閣 Chesa,梳士巴利道,$401-800,西式,"自助餐,酒店餐廳",14241,361,4.3,292,6
禪八日本料理 Zenpachi Shaba Shabu,彌敦道,$401-800,日本菜,壽司-刺身,9006,91,3.7,49,8
廚十三老壇酸菜魚 (太子集團中心) Chinese Sauerkraut Fish (Prince Tower),北京道,$201-400,其他中菜,小食店,12071,226,4.4,190,5
翠園 (星光行) Jade Garden (Star House),梳士巴利道,$201-400,港式/粵菜,中菜館,5609,115,3.6,55,9
江順名滙 Jiang Shun Jade Palace,彌敦道,$201-400,港式/粵菜,中菜館,604,12,4.1,4,1
港青宴會廳 YMCA of Hong Kong Banquet Room,梳士巴利道,$201-400,港式/粵菜,"自助餐,酒店餐廳",296,6,3.7,3,1
富豪軒 Regal Court,麼地道,$201-400,港式/粵菜,"無肉餐單,適合大夥人,薄餅",4038,60,3.7,31,6
夜上海 Yè Shanghai,梳士巴利道,$201-400,其他中菜,"快餐店,少鹽少糖食店",9921,103,3.9,53,13
香港老飯店 Hong Kong Old Restaurant,寶勒巷,$201-400,其他中菜,"中菜館,海鮮,點心,酒樓,酒店餐廳",8491,150,4.1,115,4
王子飯店 Prince Restaurant,柯士甸道,$201-400,港式/粵菜,中菜館,6319,78,3.8,39,3
寬巷子 Quan Alley HK,廣東道,$401-800,其他中菜,粉麵-米線,21454,364,4.2,254,17
寧記麻辣火鍋海鮮酒家 Lin Kee Hotpot,漆咸道,$101-200,其他中菜,"火鍋,海鮮,串燒,雞煲",498,56,3,23,16
牛一 (樂道) Nabe One (Lock Road),樂道,$101-200,日本菜,火鍋,12929,167,3.8,97,2
新東記火鍋店 Son Tung Kee Restaurant,河內道,$201-400,港式/粵菜,中菜館,2571,154,4,127,6
漁一海鮮火鍋料理,寶勒巷,$201-400,港式/粵菜,中菜館,10354,97,4.3,84,1
高流灣海鮮火鍋 Ko Lau Wan Seafood Hot Pot,山林道,$201-400,港式/粵菜,中菜館,11450,178,3.9,118,6
大一海鮮火鍋料理 Daiichi Hotpot,寶勒巷,$201-400,港式/粵菜,中菜館,8565,196,4.4,178,2
月 Evening,加連威老道,$201-400,西式,私房菜,1575,21,4.5,18,0
麥奀雲吞麵世家 (樂道) Mak's Noodle (Lock Road),樂道,$50以下,港式/粵菜,粉麵-米線,1033,36,3.2,11,5
八方雲集鍋貼水餃專門店 Bafang Dumpling,廣東道,$50以下,其他中菜,中菜館,416,18,3.5,6,0
裕興老上海餛飩鋪 Yu Xing,加拿分道,$50以下,其他中菜,粉麵-米線,379,14,2.3,2,3
阿芳上海餛飩 Ah Fong Shanghai Wonton,白加士街20號,$50以下,其他中菜,粉麵-米線,2920,68,4,48,1
張媽餛飩,科學館道,$50以下,其他中菜,粉麵-米線,782,21,4,9,1
新大光燈 New Big Light,麼地道,$50以下,港式/粵菜,粉麵-米線,1887,32,3.6,17,1
六座雲吞麵 Six’s Noodles,彌敦道,$50以下,港式/粵菜,粉麵-米線,648,22,3.9,11,0
御寶軒 Imperial Treasure Fine Chinese Cuisine,北京道,$201-400,港式/粵菜,中菜館,9566,81,3.8,34,12
星薈 Starry Terrace,天文臺道,$201-400,港式/粵菜,"中菜館,海鮮,點心,酒樓,酒店餐廳",2913,35,4.2,28,0
南海一號 Nanhai No.1,彌敦道,$201-400,港式/粵菜,"快餐店,少鹽少糖食店",55457,513,3.6,234,69
星海．譽宴 (The ONE) U-Banquet The Starview (The ONE),彌敦道,$201-400,港式/粵菜,中菜館,8051,216,4.3,185,6
囍公館 FAM,西九文化區,$201-400,港式/粵菜,中菜館,13162,209,4,121,24
后園 THE QUEEN,廣東道,$201-400,港式/粵菜,中菜館,11585,85,4.1,48,2
星宴中餐廳 Sing Yin Cantonese Dining,柯士甸道,$201-400,港式/粵菜,中菜館,5463,137,3.9,82,10
天寶閣 Celestial Court Chinese Restaurant,彌敦道,$201-400,港式/粵菜,"快餐店,少鹽少糖食店",7047,149,4,85,3
樂意點心 Log Ye Dim Sum,漢口道,$51-100,港式/粵菜,"點心,酒樓,山珍海味",5657,177,4.3,150,2
金功夫點心 Kung Fu Deluxe Dim Sum,麼地道,$51-100,港式/粵菜,"點心,酒樓,山珍海味",415,9,3.2,2,1
海月宴會廳,廣東道,$101-200,港式/粵菜,"點心,酒樓,山珍海味",423,24,4.3,20,0
港潮樓 Kong Chiu Lau,加連威老道,$101-200,港式/粵菜,"點心,酒樓,山珍海味",2062,38,3.9,27,2
翔壽司 Sushi Sho,厚福街,$201-400,日本菜,壽司-刺身,15690,523,4.3,465,5
鮨廷 Sushi Sooshi,金馬倫道,$201-400,日本菜,壽司-刺身,12469,327,4.3,279,7
池記 Chee Kei,樂道,$51-100,港式/粵菜,粉麵-米線,2928,60,3.5,24,4
麥奀雲吞麵世家 (海港城) Mak's Noodle 1920 (Harbour City),廣東道,$51-100,港式/粵菜,粉麵-米線,1385,54,3.2,8,8
君戶鍋貼大王,科學館道,$50以下,其他中菜,中菜館,356,48,2.9,10,8
北京老家 Beijing Home,堪富利士道,$101-200,其他中菜,中菜館,9431,157,3.6,90,11
大川滬 Shanghai Yen,廣東道,$201-400,其他中菜,中菜館,1525,42,4.4,35,0
十里湘薈 Moments Together,柯士甸道,$201-400,其他中菜,中菜館,5587,36,4.3,23,2
囍玥潮州酒家 Hei Yue Restaurant,天文臺道,$201-400,港式/粵菜,中菜館,1122,8,4.3,7,0
桃里 Tao Li,麼地道,$201-400,港式/粵菜,"中菜館,海鮮,點心,酒樓,酒店餐廳",4507,67,4,44,2
君怡閣中菜廳 Kimberley Chinese Restaurant,金巴利道,$201-400,港式/粵菜,"中菜館,海鮮,點心,酒樓,酒店餐廳",1594,83,3.9,48,5
國金軒 Cuisine Cuisine,彌敦道,$201-400,港式/粵菜,"快餐店,少鹽少糖食店",12258,317,4,201,14
凱悅軒 The Chinese Restaurant,河內道,$201-400,港式/粵菜,"快餐店,少鹽少糖食店",9603,195,4.1,140,5
龍苑中菜廳 Loong Yuen Cantonese Restaurant,彌敦道,$201-400,港式/粵菜,"中菜館,海鮮,點心,酒樓,酒店餐廳",11221,271,3.7,139,17
霸王川莊 (國際廣場) Sichuan House (iSQUARE),彌敦道,$201-400,其他中菜,中菜館,3128,60,4.5,55,0
羲和雅苑 XIHEYAYUAN,廣東道,$401-800,其他中菜,中菜館,33776,774,4,509,78
欣圖軒 Yan Toh Heen,梳士巴利道,$401-800,港式/粵菜,中菜館,13924,212,4.1,155,8
彤私房菜高級粵菜,山林道,$401-800,港式/粵菜,中菜館,770,50,4.9,50,0
彩薈軒 (iSQUARE國際廣場) Joyous Gate (iSQUARE),彌敦道,$101-200,港式/粵菜,"快餐店,少鹽少糖食店",2082,22,4.4,16,1
彩福皇宴 (安達中心) Choi Fook Royal Banquet (Auto Plaza),麼地道,$101-200,港式/粵菜,"快餐店,少鹽少糖食店",5467,158,4.3,132,2
滬江飯店 Wu Kong Shanghai Restaurant,彌敦道,$101-200,其他中菜,"點心,酒樓,山珍海味",10900,259,3.6,155,23
彩福皇宴 (iSQUARE國際廣場) Choi Fook Royal Banquet (iSQUARE),彌敦道,$101-200,港式/粵菜,"快餐店,少鹽少糖食店",3180,29,3.8,18,3
尖東好彩海鮮酒家海景宴會廳 Tsim Tung Ho Choi Seafood Restaurant Sea View Banquet Hall,麼地道,$101-200,港式/粵菜,"點心,酒樓,山珍海味",3322,70,3.6,35,6
江戶壽司秀 (漢口道) Edo Sushi Shu (Hankow Road),漢口道,$201-400,日本菜,壽司-刺身,1094,10,4.7,9,0
空 Sushi Sora,柯士甸道,$201-400,日本菜,壽司-刺身,5315,76,4.4,61,2
神樂 Sushi Kagura,金巴利道,$201-400,日本菜,壽司-刺身,10631,135,4.2,102,5
六公館 HEXA,廣東道,$401-800,港式/粵菜,中菜館,51924,666,4.1,432,37
海景軒 Hoi King Heen,麼地道,$401-800,港式/粵菜,"中菜館,海鮮,點心,酒樓,酒店餐廳",13128,287,4.1,217,16
阿一海景飯店 Ah Yat Harbour View Restaurant,彌敦道,$401-800,港式/粵菜,"中菜館,點心,同客食飯,中式包點,適合大夥人",7320,123,3.8,69,12
天龍軒 Tin Lung Heen,柯士甸道,$401-800,港式/粵菜,"中菜館,海鮮,點心,酒樓,酒店餐廳",20998,278,4.2,192,8
唐閣 T'ang Court,北京道,$401-800,港式/粵菜,"中菜館,海鮮,點心,酒樓,酒店餐廳",20980,300,4.2,197,10
嘉麟樓 Spring Moon,梳士巴利道,$401-800,港式/粵菜,"快餐店,少鹽少糖食店",10090,288,3.9,187,21
天外天 Above & Beyond,科學館道,$401-800,港式/粵菜,"中菜館,海鮮,點心,酒樓,酒店餐廳",25349,309,3.9,180,14
百樂潮州酒家 Pak Loh Chiu Chow Restaurant,柯士甸道,$401-800,港式/粵菜,"中菜館,海鮮,點心,酒樓,酒店餐廳",6529,101,3.7,58,9
新同樂魚翅酒家 Sun Tung Lok Chinese Cuisine,彌敦道,$401-800,港式/粵菜,"快餐店,少鹽少糖食店",7702,133,3.9,86,12
波士廳•101 The Sky Boss,柯士甸道,$801以上,港式/粵菜,"中菜館,海鮮,點心,酒樓,酒店餐廳",7714,77,3.9,44,5
彤福軒 The Legacy House,梳士巴利道,$801以上,港式/粵菜,中菜館,8884,75,4.1,48,5
福臨門 (金巴利道) Fook Lam Moon (Kimberley Road),廣東道,$801以上,港式/粵菜,中菜館,2552,56,3.9,39,6
住家菜 home feel,麼地道,$50以下,港式/粵菜,中菜館,774,118,3.6,73,10
台灣牛肉麵/中國廚房,廣東道,$50以下,其他中菜,中菜館,318,20,2.8,4,7
帝苑軒 Royal Garden Chinese Restaurant,麼地道,$101-200,港式/粵菜,"點心,酒樓,山珍海味",4112,120,3.8,65,13
煌府婚宴專門店 Palace Wedding Banquet,廣東道,$101-200,港式/粵菜,小食店,1347,32,3.9,20,1
煌府婚宴專門店 Palace Wedding Banquet,彌敦道,$101-200,港式/粵菜,小食店,3202,53,3.5,26,6
北京樓 (星光行) Peking Garden Restaurant (Star House),梳士巴利道,$201-400,其他中菜,"點心,酒樓,山珍海味",8410,241,3.5,106,46
利苑酒家 Lei Garden,柯士甸道,$201-400,港式/粵菜,"點心,酒樓,山珍海味",6402,101,3.6,44,15
利苑酒家 Lei Garden,麼地道,$201-400,港式/粵菜,"點心,酒樓,山珍海味",2878,46,3.4,25,6
馥苑海鮮酒家 Fook Yuen Seafood Restaurant,麼地道,$201-400,港式/粵菜,"火鍋,海鮮,串燒,雞煲",1656,43,3.5,20,4
圓苑 Reunion Garden,山林道,$201-400,其他中菜,中菜館,1592,143,4.5,136,1
居酒屋·姫 HIME IZAKAYA,天文臺道,$201-400,日本菜,壽司-刺身,659,16,4.6,13,0
柏 KASHIWA,亞士厘道,$201-400,日本菜,壽司-刺身,1809,59,4.4,56,1
夏麵館 Xia Mian Guan,柯士甸道,$51-100,其他中菜,"中式糖水,粥品,點心,中式包點",241,198,3,58,62
台灣牛肉麵 / 中國廚房,廣東道,$51-100,其他中菜,中菜館,79,56,2.3,9,32
糖朝 The Sweet Dynasty,彌敦道,$51-100,港式/粵菜,"中式糖水,粥品,點心,中式包點",571,350,2.8,82,140
烏蠅館 The Fly Place,亞士厘道,$101-200,其他中菜,粉麵-米線,13288,514,4.3,436,4
金牌小龍 King's Dumpling,彌敦道,$101-200,其他中菜,中菜館,999,193,3.2,67,38
儂京川滬菜館 Lung Chinese Fusion,廣東道,$101-200,其他中菜,中菜館,72,83,3.3,42,13
雲陽閣 Yunyan Sichuan Restaurant,彌敦道,$101-200,其他中菜,扒房,944,118,3.8,80,13
仙宮樓飯店 Crystal Palace Restaurant,金馬倫道,$101-200,其他中菜,中菜館,88,35,3.3,23,9
川熙樓 Chuan Xi Restaurant,亞士厘道,$201-400,其他中菜,"中菜館,海鮮,粉麵-米線,湯,水煮菜式",1185,105,3.9,85,3
霸王川莊 Sichuan House,河內道,$201-400,其他中菜,中菜館,9790,118,4,61,7
香港老飯店 Hong Kong Old Restaurant,彌敦道,$201-400,其他中菜,中菜館,443,67,3.4,38,16
龍泉私房菜 Lung Chuen Private Kitchen,彌敦道,$201-400,港式/粵菜,中菜館,1458,71,3.5,41,14
翠亨邨 (美麗華廣場) Tsui Hang Village (Mira),彌敦道,$201-400,港式/粵菜,"中菜館,點心,同客食飯,中式包點,適合大夥人",13170,184,3.6,94,22
元朗學記粥麵 Noodle Expert,廣東道,$50以下,港式/粵菜,粥品,233,17,3,4,1
洪利粥店茶餐廳 Hung Lee,厚福街,$50以下,港式/粵菜,"粥品,茶餐廳-冰室,粉麵-米線",1839,60,3,18,10
巷仔豬骨粥,堪富利士道,$50以下,港式/粵菜,大牌檔,878,10,3.3,7,0
八瀧 Yataki,棉登徑白蘭軒道,$401-800,日本菜,壽司-刺身,3163,94,4.5,83,5
遖 Sushi Apare,漆咸道,$401-800,日本菜,廚師發辦,863,32,4.4,29,2
鮨盛 Sakaru Sushi,廣東道,$401-800,日本菜,壽司-刺身,180,28,4.8,27,0
彤 Sushi Tung,山林道,$401-800,日本菜,壽司-刺身,1541,44,4.6,36,1
彤 Sushi Tung,廣東道,$401-800,日本菜,壽司-刺身,452,61,4.9,60,0
海港薈 Victoria Harbour Supreme,北京道,$101-200,港式/粵菜,酒樓,6656,290,4.4,252,9
潮庭 (星光行) Chiuchow Garden Restaurant (Star House),梳士巴利道,$101-200,港式/粵菜,酒樓,6084,100,3.9,63,4
翠韻軒 Symphony by Jade,梳士巴利道,$101-200,港式/粵菜,酒樓,3470,41,3.4,13,8
東海薈 · 拉斐特 (The ONE) East Ocean‧Lafayette (The ONE),彌敦道,$201-400,港式/粵菜,"中菜館,海鮮,點心,酒樓,酒店餐廳",6897,101,3.7,51,7
龍逸軒 Loong Yat Heen,彌敦道,$201-400,港式/粵菜,"自助餐,酒店餐廳",4161,119,3.7,73,12
香宮 Shang Palace,麼地道,$401-800,港式/粵菜,"自助餐,酒店餐廳",15632,283,4,170,13
金燕島潮州酒樓 Come-Into Chiuchow Restaurant,寶勒巷,$401-800,港式/粵菜,"點心,酒樓,山珍海味",5174,82,4.4,72,2
榊 Sakaki,漆咸道,$401-800,日本菜,廚師發辦,1928,33,4.6,30,1
囍雲軒 HEYA,彌敦道,$101-200,港式/粵菜,酒樓,2303,44,3.9,29,0
一遊 The Yuu Japanese Dining,諾士佛臺,$201-400,日本菜,小食店,7295,325,4.2,271,13
五勺 Goshaku,諾士佛臺,$201-400,日本菜,壽司-刺身,15305,125,4.1,93,4
Hanabi,諾士佛臺,$801以上,日本菜,"鐵板燒,壽司-刺身,廚師發辦",8758,57,4.1,33,5
築地中島水產 Tokyo Tukiji Nakayoshi,彌敦道,$50以下,日本菜,壽司-刺身,336,5,3.8,4,0
勁回味,科學館道,$50以下,日本菜,壽司-刺身,5283,146,3.7,88,6
Yo Roll (新文華中心),科學館道,$50以下,日本菜,壽司-刺身,1220,119,4.3,112,1
味 日本料理 taste Japanese cuisine,海防道,$50以下,日本菜,壽司-刺身,448,24,4.3,22,0
華御結 Hana-Musubi,彌敦道,$50以下,日本菜,壽司-刺身,520,19,3.9,6,0
華御結 Hana-Musubi,港鐵九龍站,$50以下,日本菜,壽司-刺身,134,3,3.9,2,0
まいど Maido,金巴利道,$51-100,日本菜,壽司-刺身,558,27,3.3,9,3
DOJE,梳士巴利道,$51-100,其他亞洲菜,壽司-刺身,3412,101,4.1,74,1
鮨瀛海 Umi sushi,加拿分道,$51-100,日本菜,壽司-刺身,544,85,4.6,84,0
粋 Omakase Iki,漆咸道,$401-800,日本菜,壽司-刺身,9581,63,4.4,46,1
富豪酒家 Fu Ho Restaurant,彌敦道,$801以上,港式/粵菜,"點心,酒樓,山珍海味",2741,104,3.9,64,6
港潮樓 Gateway Restaurant,加連威老道,$101-200,港式/粵菜,"點心,酒樓,山珍海味",38,24,3.3,12,6
金島燕窩海鮮酒家 Golden Island Chiu Chow Restaurant,梳士巴利道,$101-200,港式/粵菜,"點心,酒樓,山珍海味",76,19,3.7,13,2
金燕島潮州酒樓 Come-Into Chiuchow Restaurant,寶勒巷,$401-800,港式/粵菜,"點心,酒樓,山珍海味",361,21,4.3,20,0
"添好運點心專門店 Tim Ho Wan, the Dim-Sum Specialists",柯士甸道,$51-100,港式/粵菜,"快餐店,少鹽少糖食店",1785,30,3.5,9,1
一汁一菜 (K11購物藝術館) ICHIJUISSAI (K11 Art Mall),河內道,$51-100,西式,"快餐店,少鹽少糖食店",861,61,4.3,55,0
意粉廚房 Pasta Kitchen by Chef Gatto,漆咸道,$51-100,西式,"自助餐,酒店餐廳",1175,98,3.7,48,1
波羅密素食 Paramita Vegetarian House,海防道,$101-200,港式/粵菜,酒吧,98,21,3.2,6,8
鮨悟 Sushi Kidzuku,海防道,$401-800,日本菜,廚師發辦,2235,6,4.5,5,0
花晨月夕 KUNO,廣東道,$801以上,日本菜,壽司-刺身,19917,131,4.1,80,7
Chotto Maki,漢口道,$51-100,日本菜,壽司-刺身,1961,13,4.3,12,0
日多郎外賣壽司專門店 LongLongLong,金巴利道,$51-100,日本菜,壽司-刺身,1440,17,3.9,11,0
簡單主意 Food Simple,加拿分道,$51-100,日本菜,"壽司-刺身,酒店餐廳,自助餐",323,12,3.6,4,1
鮨一 (厚福街) G One Sushi Japanese Restaurant (Hau Fook Street),厚福街,$51-100,日本菜,壽司-刺身,52592,956,4.2,750,30
中与志お食事処 Nakayoshi Kitchen,柯士甸道,$51-100,日本菜,壽司-刺身,628,9,3.7,1,1
